--------------------------------------------------------------------------------
Process Log at Fri Aug 14 17:18:11 2020
--------------------------------------------------------------------------------
{'pid': 3264, 'create_time': 1597390666.0, 'username': None, 'name': 'AvastSvc.exe', 'num_handles': 5503, 'ppid': 868, 'memory_percent': 1.3933228558976396, 'num_threads': 181, 'vms': 163.4140625}
{'pid': 3432, 'create_time': 1597390780.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'WinStore.App.exe', 'num_handles': 961, 'ppid': 92, 'memory_percent': 0.0023292083933144515, 'num_threads': 20, 'vms': 50.5234375}
{'pid': 3556, 'create_time': 1597390667.0, 'username': None, 'name': 'spoolsv.exe', 'num_handles': 434, 'ppid': 868, 'memory_percent': 0.09016677852469861, 'num_threads': 7, 'vms': 5.26171875}
{'pid': 3592, 'create_time': 1597390667.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 434, 'ppid': 868, 'memory_percent': 0.12270365865811182, 'num_threads': 13, 'vms': 11.0859375}
{'pid': 3624, 'create_time': 1597390667.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 191, 'ppid': 868, 'memory_percent': 0.049897887023787946, 'num_threads': 6, 'vms': 2.09765625}
{'pid': 3740, 'create_time': 1597390671.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 166, 'ppid': 868, 'memory_percent': 0.044495084049604935, 'num_threads': 4, 'vms': 1.79296875}
{'pid': 3852, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 542, 'ppid': 868, 'memory_percent': 0.22674963771204504, 'num_threads': 12, 'vms': 18.4921875}
{'pid': 3860, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 382, 'ppid': 868, 'memory_percent': 0.0872612711474713, 'num_threads': 8, 'vms': 4.5078125}
{'pid': 3868, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 479, 'ppid': 868, 'memory_percent': 0.12407236874490486, 'num_threads': 13, 'vms': 10.015625}
{'pid': 3884, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 128, 'ppid': 868, 'memory_percent': 0.03383355284721713, 'num_threads': 3, 'vms': 1.26171875}
{'pid': 3892, 'create_time': 1597390709.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'NVIDIA Share.exe', 'num_handles': 332, 'ppid': 13084, 'memory_percent': 0.42581291173861, 'num_threads': 16, 'vms': 46.66015625}
{'pid': 3904, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 146, 'ppid': 868, 'memory_percent': 0.03906826861775889, 'num_threads': 2, 'vms': 1.50390625}
{'pid': 3920, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 166, 'ppid': 868, 'memory_percent': 0.03628282352884677, 'num_threads': 3, 'vms': 1.50390625}
{'pid': 3928, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 135, 'ppid': 868, 'memory_percent': 0.03983666726297603, 'num_threads': 2, 'vms': 1.58984375}
{'pid': 3936, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 182, 'ppid': 868, 'memory_percent': 0.049369612955201155, 'num_threads': 5, 'vms': 1.89453125}
{'pid': 3948, 'create_time': 1597390668.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 425, 'ppid': 868, 'memory_percent': 0.26452123361599994, 'num_threads': 23, 'vms': 32.62890625}
{'pid': 3956, 'create_time': 1597390668.0, 'username': None, 'name': 'mDNSResponder.exe', 'num_handles': 176, 'ppid': 868, 'memory_percent': 0.04108531506145388, 'num_threads': 3, 'vms': 1.859375}
{'pid': 3972, 'create_time': 1597390668.0, 'username': None, 'name': 'AppleMobileDeviceService.exe', 'num_handles': 228, 'ppid': 868, 'memory_percent': 0.07820857460850689, 'num_threads': 8, 'vms': 3.50390625}
