--------------------------------------------------------------------------------
Process Log at Mon Aug 10 13:43:20 2020
--------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 4436, 'name': 'svchost.exe', 'username': None, 'vms': 2.3359375}
{'pid': 4576, 'name': 'svchost.exe', 'username': None, 'vms': 2.33984375}
{'pid': 4816, 'name': 'svchost.exe', 'username': None, 'vms': 1.30078125}
{'pid': 4840, 'name': 'CompPkgSrv.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.74609375}
{'pid': 4872, 'name': 'svchost.exe', 'username': None, 'vms': 3.62109375}
{'pid': 4972, 'name': 'dasHost.exe', 'username': None, 'vms': 1.25}
{'pid': 5032, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.29296875}
{'pid': 5324, 'name': 'svchost.exe', 'username': None, 'vms': 1.7734375}
{'pid': 5344, 'name': 'RAVBg64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.1953125}
{'pid': 5568, 'name': 'svchost.exe', 'username': None, 'vms': 2.23828125}
{'pid': 5576, 'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 45.26171875}
{'pid': 5772, 'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.76953125}
{'pid': 5800, 'name': 'jusched.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.79296875}
{'pid': 5820, 'name': 'ctfmon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.984375}
{'pid': 5888, 'name': 'svchost.exe', 'username': None, 'vms': 2.34765625}
{'pid': 5924, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 62.9375}
{'pid': 5988, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 325.89453125}
{'pid': 6140, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.671875}
{'pid': 6248, 'name': 'aswEngSrv.exe', 'username': None, 'vms': 73.4296875}
{'pid': 6424, 'name': 'YourPhoneServer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.8046875}
{'pid': 6444, 'name': 'Microsoft.Photos.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 49.42578125}
{'pid': 6700, 'name': 'SearchIndexer.exe', 'username': None, 'vms': 47.671875}
{'pid': 7060, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 44.18359375}
{'pid': 7072, 'name': 'svchost.exe', 'username': None, 'vms': 2.83984375}
{'pid': 7132, 'name': 'AvastUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 15.77734375}
{'pid': 7240, 'name': 'CodeHelper.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 11.22265625}
{'pid': 7256, 'name': 'svchost.exe', 'username': None, 'vms': 4.01953125}
{'pid': 7360, 'name': 'svchost.exe', 'username': None, 'vms': 1.7890625}
{'pid': 7476, 'name': 'AvastUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 42.66796875}
{'pid': 7648, 'name': 'aswidsagent.exe', 'username': None, 'vms': 35.0078125}
{'pid': 7920, 'name': 'AiSquared.Loader.Elevated.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 31.96875}
{'pid': 7996, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 217.109375}
{'pid': 8044, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 21.515625}
{'pid': 8140, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 200.49609375}
{'pid': 8168, 'name': 'svchost.exe', 'username': None, 'vms': 4.23828125}
{'pid': 8284, 'name': 'WinStore.App.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 46.37109375}
{'pid': 8296, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.6640625}
{'pid': 8496, 'name': 'winlogon.exe', 'username': None, 'vms': 2.7421875}
{'pid': 8624, 'name': 'ZtUac64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.515625}
{'pid': 8668, 'name': 'SearchProtocolHost.exe', 'username': None, 'vms': 2.70703125}
{'pid': 8760, 'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.4765625}
{'pid': 8836, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 4.47265625}
{'pid': 8840, 'name': 'OneDrive.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.74609375}
{'pid': 8928, 'name': 'AiSquared.Loader.Elevated.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.5625}
{'pid': 9096, 'name': 'WmiPrvSE.exe', 'username': None, 'vms': 3.67578125}
{'pid': 9104, 'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 15.80078125}
{'pid': 9260, 'name': 'svchost.exe', 'username': None, 'vms': 2.02734375}
{'pid': 9320, 'name': 'dllhost.exe', 'username': None, 'vms': 3.09765625}
