--------------------------------------------------------------------------------
Process Log at Mon Aug 10 13:34:03 2020
--------------------------------------------------------------------------------
{'name': 'jusched.exe', 'pid': 5800, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.79296875}
{'name': 'ctfmon.exe', 'pid': 5820, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.91796875}
{'name': 'svchost.exe', 'pid': 5888, 'username': None, 'vms': 2.23828125}
{'name': 'SearchFilterHost.exe', 'pid': 5904, 'username': None, 'vms': 1.51953125}
{'name': 'chrome.exe', 'pid': 5924, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 62.83984375}
{'name': 'chrome.exe', 'pid': 5988, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 304.08203125}
{'name': 'RuntimeBroker.exe', 'pid': 6140, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.671875}
{'name': 'aswEngSrv.exe', 'pid': 6248, 'username': None, 'vms': 71.31640625}
{'name': 'YourPhoneServer.exe', 'pid': 6424, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.8046875}
{'name': 'Microsoft.Photos.exe', 'pid': 6444, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 49.42578125}
{'name': 'SearchIndexer.exe', 'pid': 6700, 'username': None, 'vms': 46.37890625}
{'name': 'Code.exe', 'pid': 7060, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 44.31640625}
{'name': 'svchost.exe', 'pid': 7072, 'username': None, 'vms': 2.82421875}
{'name': 'AvastUI.exe', 'pid': 7132, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 15.77734375}
{'name': 'CodeHelper.exe', 'pid': 7240, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.9609375}
{'name': 'svchost.exe', 'pid': 7256, 'username': None, 'vms': 4.01171875}
{'name': 'svchost.exe', 'pid': 7360, 'username': None, 'vms': 1.7890625}
{'name': 'conhost.exe', 'pid': 7464, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.515625}
{'name': 'AvastUI.exe', 'pid': 7476, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 42.86328125}
{'name': 'aswidsagent.exe', 'pid': 7648, 'username': None, 'vms': 33.29296875}
{'name': 'AiSquared.Loader.Elevated.exe', 'pid': 7920, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 31.96875}
{'name': 'Code.exe', 'pid': 7996, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 208.17578125}
{'name': 'chrome.exe', 'pid': 8044, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 21.546875}
{'name': 'chrome.exe', 'pid': 8140, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 198.33984375}
{'name': 'svchost.exe', 'pid': 8168, 'username': None, 'vms': 4.17578125}
{'name': 'WinStore.App.exe', 'pid': 8284, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 46.37109375}
{'name': 'RuntimeBroker.exe', 'pid': 8296, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.46484375}
{'name': 'winlogon.exe', 'pid': 8496, 'username': None, 'vms': 2.7421875}
{'name': 'ZtUac64.exe', 'pid': 8624, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.515625}
{'name': 'conhost.exe', 'pid': 8760, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.4765625}
{'name': 'fontdrvhost.exe', 'pid': 8836, 'username': None, 'vms': 4.08203125}
{'name': 'OneDrive.exe', 'pid': 8840, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.74609375}
{'name': 'AiSquared.Loader.Elevated.exe', 'pid': 8928, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.5}
{'name': 'svchost.exe', 'pid': 9260, 'username': None, 'vms': 1.9375}
{'name': 'dllhost.exe', 'pid': 9320, 'username': None, 'vms': 3.09765625}
{'name': 'svchost.exe', 'pid': 9452, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.99609375}
{'name': 'chrome.exe', 'pid': 9576, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 34.50390625}
{'name': 'Skype.exe', 'pid': 9928, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 32.25}
{'name': 'RuntimeBroker.exe', 'pid': 9984, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.421875}
{'name': 'RAVCpl64.exe', 'pid': 9988, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.93359375}
{'name': 'LockApp.exe', 'pid': 10308, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.3671875}
{'name': 'Code.exe', 'pid': 10396, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 83.21484375}
{'name': 'chrome.exe', 'pid': 10672, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 121.984375}
{'name': 'chrome.exe', 'pid': 10704, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 24.4140625}
{'name': 'chrome.exe', 'pid': 10728, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 17.8125}
{'name': 'svchost.exe', 'pid': 10736, 'username': None, 'vms': 4.15625}
{'name': 'conhost.exe', 'pid': 10836, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.71484375}
{'name': 'python.exe', 'pid': 10924, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 18.83984375}
{'name': 'chrome.exe', 'pid': 11064, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 66.0390625}
{'name': 'AcerRegistrationBackGroundTask.exe', 'pid': 11164, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 38.48828125}
{'name': 'SgrmBroker.exe', 'pid': 11176, 'username': None, 'vms': 2.93359375}
{'name': 'python.exe', 'pid': 11292, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 64.62109375}
{'name': 'SystemSettings.exe', 'pid': 11328, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 23.1015625}
{'name': 'dllhost.exe', 'pid': 11420, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.29296875}
{'name': 'unsecapp.exe', 'pid': 11468, 'username': None, 'vms': 1.55859375}
{'name': 'svchost.exe', 'pid': 11476, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.6796875}
{'name': 'Code.exe', 'pid': 11500, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.08203125}
{'name': 'Code.exe', 'pid': 11560, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 40.89453125}
{'name': 'AiSquared.Loader.Generic.exe', 'pid': 11652, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 39.78125}
{'name': 'RuntimeBroker.exe', 'pid': 11736, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.671875}
{'name': 'nvcontainer.exe', 'pid': 11800, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 28.9609375}
{'name': 'powershell.exe', 'pid': 11808, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 65.75}
{'name': 'GoogleCrashHandler.exe', 'pid': 11904, 'username': None, 'vms': 1.81640625}
{'name': 'chrome.exe', 'pid': 12040, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.25390625}
{'name': 'Code.exe', 'pid': 12056, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 172.796875}
{'name': 'svchost.exe', 'pid': 12096, 'username': None, 'vms': 4.875}
{'name': 'conhost.exe', 'pid': 12224, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.51171875}
{'name': 'RAVBg64.exe', 'pid': 12324, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.69140625}
{'name': 'powershell.exe', 'pid': 12340, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 63.53515625}
{'name': 'NVDisplay.Container.exe', 'pid': 12392, 'username': None, 'vms': 29.6015625}
{'name': 'chrome.exe', 'pid': 12640, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.8046875}
{'name': 'ShellExperienceHost.exe', 'pid': 12644, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.30859375}
{'name': 'taskhostw.exe', 'pid': 12652, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 9.01953125}
{'name': 'jhi_service.exe', 'pid': 12732, 'username': None, 'vms': 1.453125}
{'name': 'conhost.exe', 'pid': 12740, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.515625}
{'name': 'SecurityHealthService.exe', 'pid': 12844, 'username': None, 'vms': 4.1484375}
