--------------------------------------------------------------------------------
Process Log at Sat Aug  8 23:37:47 2020
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'username': None, 'pid': 6660, 'vms': 6.6015625}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 6824, 'vms': 71.47265625}
{'name': 'svchost.exe', 'username': None, 'pid': 6852, 'vms': 2.8671875}
{'name': 'svchost.exe', 'username': None, 'pid': 6936, 'vms': 11.49609375}
{'name': 'powershell.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7152, 'vms': 65.59375}
{'name': 'jhi_service.exe', 'username': None, 'pid': 7200, 'vms': 1.45703125}
{'name': 'winlogon.exe', 'username': None, 'pid': 7336, 'vms': 2.84765625}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7376, 'vms': 6.484375}
{'name': 'aswEngSrv.exe', 'username': None, 'pid': 7592, 'vms': 40.10546875}
{'name': 'PredatorSense.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7664, 'vms': 69.41015625}
{'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7832, 'vms': 18.86328125}
{'name': 'AiSquared.Loader.Elevated.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7988, 'vms': 17.39453125}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8300, 'vms': 6.5078125}
{'name': 'AppVShNotify.exe', 'username': None, 'pid': 8444, 'vms': 1.8359375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8524, 'vms': 2.34375}
{'name': 'svchost.exe', 'username': None, 'pid': 8532, 'vms': 1.80859375}
{'name': 'svchost.exe', 'username': None, 'pid': 8540, 'vms': 5.734375}
{'name': 'RAVCpl64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8552, 'vms': 4.953125}
{'name': 'aswidsagent.exe', 'username': None, 'pid': 8892, 'vms': 53.109375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9080, 'vms': 75.7109375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9192, 'vms': 23.7578125}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9224, 'vms': 19.28515625}
{'name': 'AiSquared.Loader.Elevated.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9228, 'vms': 32.13671875}
