--------------------------------------------------------------------------------
Process Log at Thu Aug 13 16:18:06 2020
--------------------------------------------------------------------------------
{'create_time': 1597314317.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'nvcontainer.exe', 'pid': 6340, 'vms': 9.3359375}
{'create_time': 1597002011.0, 'username': None, 'name': 'SearchIndexer.exe', 'pid': 6700, 'vms': 98.7734375}
{'create_time': 1597314362.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'WinStore.App.exe', 'pid': 6852, 'vms': 49.0}
{'create_time': 1597002011.0, 'username': None, 'name': 'svchost.exe', 'pid': 7072, 'vms': 2.87890625}
{'create_time': 1597315681.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'pid': 7100, 'vms': 6.515625}
{'create_time': 1597002012.0, 'username': None, 'name': 'svchost.exe', 'pid': 7256, 'vms': 5.296875}
{'create_time': 1597002012.0, 'username': None, 'name': 'svchost.exe', 'pid': 7360, 'vms': 1.94140625}
{'create_time': 1597315652.0, 'username': None, 'name': 'svchost.exe', 'pid': 7420, 'vms': 3.359375}
{'create_time': 1597314320.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'SettingSyncHost.exe', 'pid': 7488, 'vms': 6.74609375}
{'create_time': 1597314325.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AiSquared.Loader.Elevated.exe', 'pid': 7552, 'vms': 15.36328125}
{'create_time': 1597002012.0, 'username': None, 'name': 'aswidsagent.exe', 'pid': 7648, 'vms': 51.35546875}
{'create_time': 1597314731.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'pid': 7680, 'vms': 1.73046875}
{'create_time': 1597314555.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'pid': 7792, 'vms': 7.1328125}
{'create_time': 1597314733.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'pid': 7828, 'vms': 20.10546875}
{'create_time': 1597314326.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'pid': 7940, 'vms': 3.28125}
{'create_time': 1597314323.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'YourPhone.exe', 'pid': 8056, 'vms': 21.62890625}
{'create_time': 1597315684.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'powershell.exe', 'pid': 8076, 'vms': 65.796875}
{'create_time': 1597314331.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'pid': 8088, 'vms': 4.49609375}
{'create_time': 1597002012.0, 'username': None, 'name': 'svchost.exe', 'pid': 8168, 'vms': 7.2109375}
{'create_time': 1597314958.0, 'username': None, 'name': 'svchost.exe', 'pid': 8196, 'vms': 2.59765625}
{'create_time': 1597314319.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'NVIDIA Web Helper.exe', 'pid': 8256, 'vms': 37.16796875}
{'create_time': 1597314553.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'pid': 8536, 'vms': 10.625}
{'create_time': 1597314363.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'pid': 8580, 'vms': 5.2421875}
{'create_time': 1597313219.0, 'username': None, 'name': 'csrss.exe', 'pid': 8600, 'vms': 2.55078125}
{'create_time': 1597314346.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'jusched.exe', 'pid': 8844, 'vms': 1.78125}
{'create_time': 1597314317.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'pid': 9016, 'vms': 11.77734375}
{'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 9152, 'vms': 17.66015625}
{'create_time': 1597313220.0, 'username': None, 'name': 'fontdrvhost.exe', 'pid': 9160, 'vms': 3.265625}
{'create_time': 1597313225.0, 'username': None, 'name': 'NVDisplay.Container.exe', 'pid': 9312, 'vms': 32.7890625}
{'create_time': 1597002017.0, 'username': None, 'name': 'dllhost.exe', 'pid': 9320, 'vms': 3.98046875}
{'create_time': 1597314344.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Skype.exe', 'pid': 9380, 'vms': 9.5859375}
{'create_time': 1597315652.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'backgroundTaskHost.exe', 'pid': 9388, 'vms': 8.43359375}
{'create_time': 1597314874.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 9500, 'vms': 144.07421875}
{'create_time': 1597314329.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'nvsphelper64.exe', 'pid': 9660, 'vms': 3.7890625}
{'create_time': 1597315498.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'pid': 9728, 'vms': 14.90234375}
{'create_time': 1597314324.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AiSquared.Loader.Generic.exe', 'pid': 9924, 'vms': 39.6171875}
{'create_time': 1597315119.0, 'username': None, 'name': 'svchost.exe', 'pid': 10156, 'vms': 1.87109375}
{'create_time': 1597315686.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 10356, 'vms': 17.44140625}
{'create_time': 1597314398.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 10444, 'vms': 2.265625}
{'create_time': 1597314344.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Skype.exe', 'pid': 10552, 'vms': 10.9921875}
{'create_time': 1597002020.0, 'username': None, 'name': 'svchost.exe', 'pid': 10736, 'vms': 4.67578125}
{'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 11036, 'vms': 23.19140625}
{'create_time': 1597136889.0, 'username': None, 'name': 'svchost.exe', 'pid': 11136, 'vms': 2.64453125}
{'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 11164, 'vms': 245.12109375}
{'create_time': 1597002132.0, 'username': None, 'name': 'SgrmBroker.exe', 'pid': 11176, 'vms': 4.33984375}
{'create_time': 1597315617.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'pid': 11340, 'vms': 41.06640625}
{'create_time': 1597314342.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'ApplicationFrameHost.exe', 'pid': 11444, 'vms': 16.15625}
{'create_time': 1597315158.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'pid': 11568, 'vms': 17.390625}
{'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 11628, 'vms': 33.51953125}
{'create_time': 1597315562.0, 'username': None, 'name': 'SearchProtocolHost.exe', 'pid': 11692, 'vms': 2.53125}
{'create_time': 1597314399.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 11724, 'vms': 17.48046875}
{'create_time': 1597314317.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'igfxEM.exe', 'pid': 11748, 'vms': 4.0078125}
{'create_time': 1597311263.0, 'username': None, 'name': 'MicrosoftEdgeUpdate.exe', 'pid': 11808, 'vms': 2.4140625}
{'create_time': 1597314872.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 11900, 'vms': 39.97265625}
{'create_time': 1597002029.0, 'username': None, 'name': 'GoogleCrashHandler.exe', 'pid': 11904, 'vms': 1.953125}
{'create_time': 1597314317.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'nvcontainer.exe', 'pid': 11908, 'vms': 29.4375}
{'create_time': 1597002132.0, 'username': None, 'name': 'svchost.exe', 'pid': 12096, 'vms': 5.14453125}
{'create_time': 1597314317.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'sihost.exe', 'pid': 12228, 'vms': 7.13671875}
{'create_time': 1597256282.0, 'username': None, 'name': 'svchost.exe', 'pid': 12468, 'vms': 2.06640625}
{'create_time': 1597314319.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'pid': 12488, 'vms': 4.33984375}
{'create_time': 1597314469.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 12540, 'vms': 7.62109375}
{'create_time': 1597315653.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'pid': 12620, 'vms': 7.44921875}
{'create_time': 1597002131.0, 'username': None, 'name': 'jhi_service.exe', 'pid': 12732, 'vms': 1.453125}
{'create_time': 1597002031.0, 'username': None, 'name': 'SecurityHealthService.exe', 'pid': 12844, 'vms': 7.39453125}
{'create_time': 1597314732.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'CodeHelper.exe', 'pid': 12860, 'vms': 11.4921875}
{'create_time': 1597314320.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'StartMenuExperienceHost.exe', 'pid': 13012, 'vms': 28.26953125}
{'create_time': 1597314738.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'pid': 13092, 'vms': 6.51171875}
{'create_time': 1597314397.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'ZtUac64.exe', 'pid': 13120, 'vms': 1.515625}
{'create_time': 1597314552.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'pid': 13140, 'vms': 47.09765625}
{'create_time': 1597044012.0, 'username': None, 'name': 'svchost.exe', 'pid': 13388, 'vms': 2.7265625}
{'create_time': 1597245779.0, 'username': None, 'name': 'unsecapp.exe', 'pid': 13428, 'vms': 1.7265625}
{'create_time': 1597314446.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 13528, 'vms': 73.515625}
{'create_time': 1597314323.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'LockApp.exe', 'pid': 13560, 'vms': 13.18359375}
{'create_time': 1597002037.0, 'username': None, 'name': 'svchost.exe', 'pid': 13636, 'vms': 2.65625}
{'create_time': 1597314330.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'NVIDIA Share.exe', 'pid': 13664, 'vms': 33.78125}
{'create_time': 1597002251.0, 'username': None, 'name': 'svchost.exe', 'pid': 13688, 'vms': 3.140625}
{'create_time': 1597002033.0, 'username': None, 'name': 'GoogleCrashHandler64.exe', 'pid': 13700, 'vms': 1.796875}
