--------------------------------------------------------------------------------
Process Log at Mon Aug 10 13:50:08 2020
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 5820, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'ctfmon.exe', 'vms': 3.9921875}
{'pid': 5888, 'username': None, 'name': 'svchost.exe', 'vms': 2.34765625}
{'pid': 5924, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 63.41796875}
{'pid': 5988, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 376.3359375}
{'pid': 5996, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'vms': 7.59765625}
{'pid': 6140, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'vms': 6.671875}
{'pid': 6248, 'username': None, 'name': 'aswEngSrv.exe', 'vms': 73.5}
{'pid': 6392, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'vms': 3.24609375}
{'pid': 6424, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'YourPhoneServer.exe', 'vms': 7.80859375}
{'pid': 6444, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Microsoft.Photos.exe', 'vms': 49.42578125}
{'pid': 6700, 'username': None, 'name': 'SearchIndexer.exe', 'vms': 46.70703125}
{'pid': 7060, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'vms': 44.953125}
{'pid': 7072, 'username': None, 'name': 'svchost.exe', 'vms': 2.83984375}
{'pid': 7132, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AvastUI.exe', 'vms': 15.77734375}
{'pid': 7240, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'CodeHelper.exe', 'vms': 11.48828125}
{'pid': 7256, 'username': None, 'name': 'svchost.exe', 'vms': 4.11328125}
{'pid': 7360, 'username': None, 'name': 'svchost.exe', 'vms': 1.7890625}
{'pid': 7476, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AvastUI.exe', 'vms': 43.203125}
{'pid': 7648, 'username': None, 'name': 'aswidsagent.exe', 'vms': 35.48828125}
{'pid': 7920, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AiSquared.Loader.Elevated.exe', 'vms': 31.96875}
{'pid': 7996, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'vms': 218.94921875}
{'pid': 8044, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 21.515625}
{'pid': 8140, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 200.3125}
{'pid': 8168, 'username': None, 'name': 'svchost.exe', 'vms': 4.23828125}
{'pid': 8284, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'WinStore.App.exe', 'vms': 46.37109375}
{'pid': 8296, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'vms': 4.6640625}
{'pid': 8324, 'username': None, 'name': 'svchost.exe', 'vms': 3.1875}
{'pid': 8496, 'username': None, 'name': 'winlogon.exe', 'vms': 2.89453125}
{'pid': 8624, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'ZtUac64.exe', 'vms': 1.515625}
{'pid': 8668, 'username': None, 'name': 'SearchProtocolHost.exe', 'vms': 2.890625}
{'pid': 8760, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'vms': 6.4765625}
{'pid': 8836, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 4.47265625}
{'pid': 8840, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'OneDrive.exe', 'vms': 14.74609375}
{'pid': 8928, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AiSquared.Loader.Elevated.exe', 'vms': 14.5625}
{'pid': 9096, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 4.20703125}
{'pid': 9104, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'python.exe', 'vms': 17.22265625}
{'pid': 9260, 'username': None, 'name': 'svchost.exe', 'vms': 2.04296875}
{'pid': 9292, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'backgroundTaskHost.exe', 'vms': 15.01953125}
{'pid': 9320, 'username': None, 'name': 'dllhost.exe', 'vms': 3.09765625}
{'pid': 9452, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'vms': 11.2734375}
{'pid': 9576, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 34.453125}
{'pid': 9872, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 52.12890625}
{'pid': 9928, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Skype.exe', 'vms': 32.2578125}
{'pid': 9984, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RuntimeBroker.exe', 'vms': 3.421875}
{'pid': 9988, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RAVCpl64.exe', 'vms': 4.93359375}
{'pid': 10128, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 12.32421875}
{'pid': 10308, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'LockApp.exe', 'vms': 14.3671875}
{'pid': 10396, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'vms': 82.296875}
{'pid': 10672, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 122.7265625}
{'pid': 10704, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 24.4140625}
{'pid': 10728, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 18.8359375}
{'pid': 10736, 'username': None, 'name': 'svchost.exe', 'vms': 4.2734375}
{'pid': 10836, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'vms': 1.7421875}
{'pid': 10924, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'python.exe', 'vms': 275.515625}
{'pid': 10992, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'backgroundTaskHost.exe', 'vms': 8.4453125}
{'pid': 11064, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 69.19921875}
{'pid': 11164, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AcerRegistrationBackGroundTask.exe', 'vms': 38.484375}
{'pid': 11176, 'username': None, 'name': 'SgrmBroker.exe', 'vms': 3.16015625}
{'pid': 11328, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'SystemSettings.exe', 'vms': 23.1015625}
{'pid': 11420, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'dllhost.exe', 'vms': 2.34375}
{'pid': 11468, 'username': None, 'name': 'unsecapp.exe', 'vms': 1.55859375}
{'pid': 11476, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'vms': 4.1015625}
{'pid': 11500, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'vms': 7.08203125}
