--------------------------------------------------------------------------------
Process Log at Thu Aug 13 16:57:18 2020
--------------------------------------------------------------------------------
{'pid': 3468, 'name': 'ctfmon.exe', 'create_time': 1597314321.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.15625}
{'pid': 3492, 'name': 'chrome.exe', 'create_time': 1597315485.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 27.1640625}
{'pid': 3600, 'name': 'Skype.exe', 'create_time': 1597314344.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 40.21875}
{'pid': 3692, 'name': 'Code.exe', 'create_time': 1597316869.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 53.39453125}
{'pid': 3744, 'name': 'svchost.exe', 'create_time': 1597002013.0, 'username': None, 'vms': 7.0}
{'pid': 3764, 'name': 'spoolsv.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 5.4453125}
{'pid': 3796, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 11.75390625}
{'pid': 3896, 'name': 'NVIDIA Share.exe', 'create_time': 1597314329.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 20.00390625}
{'pid': 3912, 'name': 'svchost.exe', 'create_time': 1597002006.0, 'username': None, 'vms': 1.98046875}
{'pid': 3924, 'name': 'armsvc.exe', 'create_time': 1597078370.0, 'username': None, 'vms': 1.984375}
{'pid': 4052, 'name': 'YourPhoneServer.exe', 'create_time': 1597314326.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.6875}
{'pid': 4060, 'name': 'OneDrive.exe', 'create_time': 1597314336.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.5546875}
{'pid': 4084, 'name': 'RAVBg64.exe', 'create_time': 1597314334.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.41796875}
