--------------------------------------------------------------------------------
Process Log at Mon Aug 10 19:36:43 2020
--------------------------------------------------------------------------------
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6608, 'create_time': 1597065268.0, 'name': 'StartMenuExperienceHost.exe', 'vms': 27.28125}
{'username': None, 'pid': 6700, 'create_time': 1597002011.0, 'name': 'SearchIndexer.exe', 'vms': 41.671875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6740, 'create_time': 1597065282.0, 'name': 'RAVCpl64.exe', 'vms': 4.44140625}
{'username': None, 'pid': 6976, 'create_time': 1597068375.0, 'name': 'WmiPrvSE.exe', 'vms': 3.828125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7044, 'create_time': 1597065264.0, 'name': 'svchost.exe', 'vms': 10.78125}
{'username': None, 'pid': 7072, 'create_time': 1597002011.0, 'name': 'svchost.exe', 'vms': 2.82421875}
{'username': None, 'pid': 7256, 'create_time': 1597002012.0, 'name': 'svchost.exe', 'vms': 4.21875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7284, 'create_time': 1597066625.0, 'name': 'Code.exe', 'vms': 20.48828125}
{'username': None, 'pid': 7360, 'create_time': 1597002012.0, 'name': 'svchost.exe', 'vms': 1.8046875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7388, 'create_time': 1597065355.0, 'name': 'AvastUI.exe', 'vms': 16.5546875}
{'username': None, 'pid': 7540, 'create_time': 1597056538.0, 'name': 'winlogon.exe', 'vms': 2.7578125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7552, 'create_time': 1597065283.0, 'name': 'RAVBg64.exe', 'vms': 6.19140625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7596, 'create_time': 1597065283.0, 'name': 'chrome.exe', 'vms': 7.43359375}
{'username': None, 'pid': 7648, 'create_time': 1597002012.0, 'name': 'aswidsagent.exe', 'vms': 39.9296875}
{'username': None, 'pid': 8168, 'create_time': 1597002012.0, 'name': 'svchost.exe', 'vms': 4.609375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8404, 'create_time': 1597066621.0, 'name': 'Code.exe', 'vms': 10.0}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8428, 'create_time': 1597066620.0, 'name': 'Code.exe', 'vms': 36.1171875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8436, 'create_time': 1597065280.0, 'name': 'YourPhoneServer.exe', 'vms': 7.81640625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8624, 'create_time': 1597065358.0, 'name': 'WinStore.App.exe', 'vms': 49.48828125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8636, 'create_time': 1597068179.0, 'name': 'conhost.exe', 'vms': 6.4765625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8868, 'create_time': 1597065272.0, 'name': 'ZtUac64.exe', 'vms': 1.5234375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9084, 'create_time': 1597065291.0, 'name': 'Skype.exe', 'vms': 126.28515625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9104, 'create_time': 1597068373.0, 'name': 'Code.exe', 'vms': 41.98828125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9200, 'create_time': 1597066663.0, 'name': 'conhost.exe', 'vms': 1.828125}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9212, 'create_time': 1597065270.0, 'name': 'RuntimeBroker.exe', 'vms': 12.4453125}
{'username': None, 'pid': 9260, 'create_time': 1597038802.0, 'name': 'svchost.exe', 'vms': 2.0859375}
{'username': None, 'pid': 9320, 'create_time': 1597002017.0, 'name': 'dllhost.exe', 'vms': 3.1640625}
