--------------------------------------------------------------------------------
Process Log at Fri Aug 14 18:15:44 2020
--------------------------------------------------------------------------------
{'num_threads': 11, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 703, 'ppid': 2328, 'memory_percent': 0.43289658674920545, 'pid': 2560, 'name': 'powershell.exe', 'create_time': 1597408987.0, 'vms': 58.640625}
{'num_threads': 4, 'username': None, 'num_handles': 227, 'ppid': 868, 'memory_percent': 0.070188413749053, 'pid': 2600, 'name': 'svchost.exe', 'create_time': 1597390663.0, 'vms': 2.5234375}
{'num_threads': 4, 'username': None, 'num_handles': 200, 'ppid': 868, 'memory_percent': 0.04932158803987508, 'pid': 2660, 'name': 'svchost.exe', 'create_time': 1597390663.0, 'vms': 2.01953125}
{'num_threads': 6, 'username': None, 'num_handles': 163, 'ppid': 868, 'memory_percent': 0.043510573285420476, 'pid': 2668, 'name': 'svchost.exe', 'create_time': 1597390663.0, 'vms': 1.80859375}
{'num_threads': 11, 'username': None, 'num_handles': 382, 'ppid': 868, 'memory_percent': 0.08663694724823238, 'pid': 2820, 'name': 'svchost.exe', 'create_time': 1597390664.0, 'vms': 3.4140625}
{'num_threads': 31, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 1597, 'ppid': 5296, 'memory_percent': 1.30860690526245, 'pid': 2924, 'name': 'chrome.exe', 'create_time': 1597408578.0, 'vms': 147.66796875}
{'num_threads': 6, 'username': None, 'num_handles': 143, 'ppid': 868, 'memory_percent': 0.04031691641623675, 'pid': 2988, 'name': 'svchost.exe', 'create_time': 1597390664.0, 'vms': 1.90234375}
{'num_threads': 7, 'username': None, 'num_handles': 377, 'ppid': 868, 'memory_percent': 0.061543928990360194, 'pid': 2996, 'name': 'svchost.exe', 'create_time': 1597390664.0, 'vms': 2.703125}
{'num_threads': 3, 'username': None, 'num_handles': 216, 'ppid': 868, 'memory_percent': 0.05191493346748293, 'pid': 3096, 'name': 'AdminService.exe', 'create_time': 1597390668.0, 'vms': 3.3046875}
{'num_threads': 14, 'username': None, 'num_handles': 504, 'ppid': 868, 'memory_percent': 0.11542788398621205, 'pid': 3148, 'name': 'svchost.exe', 'create_time': 1597390665.0, 'vms': 6.06640625}
{'num_threads': 14, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 221, 'ppid': 2924, 'memory_percent': 0.13360531443712997, 'pid': 3184, 'name': 'chrome.exe', 'create_time': 1597408912.0, 'vms': 11.98828125}
{'num_threads': 3, 'username': None, 'num_handles': 306, 'ppid': 868, 'memory_percent': 0.07266169688834567, 'pid': 3188, 'name': 'Updater.exe', 'create_time': 1597390668.0, 'vms': 4.78125}
{'num_threads': 5, 'username': None, 'num_handles': 186, 'ppid': 868, 'memory_percent': 0.05234715770541757, 'pid': 3196, 'name': 'Crypserv.exe', 'create_time': 1597390668.0, 'vms': 3.234375}
{'num_threads': 4, 'username': None, 'num_handles': 217, 'ppid': 868, 'memory_percent': 0.07741616350562672, 'pid': 3228, 'name': 'svchost.exe', 'create_time': 1597390666.0, 'vms': 2.50390625}
{'num_threads': 199, 'username': None, 'num_handles': 5596, 'ppid': 868, 'memory_percent': 1.4240828141639883, 'pid': 3264, 'name': 'AvastSvc.exe', 'create_time': 1597390666.0, 'vms': 166.78125}
{'num_threads': 20, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 961, 'ppid': 92, 'memory_percent': 0.0023292083933144515, 'pid': 3432, 'name': 'WinStore.App.exe', 'create_time': 1597390780.0, 'vms': 50.5234375}
{'num_threads': 7, 'username': None, 'num_handles': 434, 'ppid': 868, 'memory_percent': 0.09016677852469861, 'pid': 3556, 'name': 'spoolsv.exe', 'create_time': 1597390667.0, 'vms': 5.26171875}
{'num_threads': 16, 'username': None, 'num_handles': 438, 'ppid': 868, 'memory_percent': 0.12349606976099199, 'pid': 3592, 'name': 'svchost.exe', 'create_time': 1597390667.0, 'vms': 11.34765625}
{'num_threads': 6, 'username': None, 'num_handles': 191, 'ppid': 868, 'memory_percent': 0.04987387456612491, 'pid': 3624, 'name': 'svchost.exe', 'create_time': 1597390667.0, 'vms': 2.08984375}
{'num_threads': 4, 'username': None, 'num_handles': 166, 'ppid': 868, 'memory_percent': 0.044495084049604935, 'pid': 3740, 'name': 'svchost.exe', 'create_time': 1597390671.0, 'vms': 1.79296875}
{'num_threads': 13, 'username': None, 'num_handles': 546, 'ppid': 868, 'memory_percent': 0.22670161279671897, 'pid': 3852, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 18.55078125}
{'num_threads': 9, 'username': None, 'num_handles': 390, 'ppid': 868, 'memory_percent': 0.08786158258904721, 'pid': 3860, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 4.66015625}
{'num_threads': 12, 'username': None, 'num_handles': 468, 'ppid': 868, 'memory_percent': 0.12337600747267681, 'pid': 3868, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 9.85546875}
{'num_threads': 3, 'username': None, 'num_handles': 128, 'ppid': 868, 'memory_percent': 0.03383355284721713, 'pid': 3884, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 1.26171875}
{'num_threads': 16, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 332, 'ppid': 13084, 'memory_percent': 0.43006311674496733, 'pid': 3892, 'name': 'NVIDIA Share.exe', 'create_time': 1597390709.0, 'vms': 46.77734375}
{'num_threads': 2, 'username': None, 'num_handles': 146, 'ppid': 868, 'memory_percent': 0.03906826861775889, 'pid': 3904, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 1.50390625}
{'num_threads': 3, 'username': None, 'num_handles': 165, 'ppid': 868, 'memory_percent': 0.03628282352884677, 'pid': 3920, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 1.50390625}
{'num_threads': 2, 'username': None, 'num_handles': 135, 'ppid': 868, 'memory_percent': 0.03983666726297603, 'pid': 3928, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 1.58984375}
{'num_threads': 5, 'username': None, 'num_handles': 182, 'ppid': 868, 'memory_percent': 0.049369612955201155, 'pid': 3936, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 1.89453125}
{'num_threads': 23, 'username': None, 'num_handles': 413, 'ppid': 868, 'memory_percent': 0.25621292326458966, 'pid': 3948, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 31.2890625}
{'num_threads': 2, 'username': None, 'num_handles': 174, 'ppid': 868, 'memory_percent': 0.040821178027160496, 'pid': 3956, 'name': 'mDNSResponder.exe', 'create_time': 1597390668.0, 'vms': 1.83203125}
{'num_threads': 8, 'username': None, 'num_handles': 228, 'ppid': 868, 'memory_percent': 0.07818456215084385, 'pid': 3972, 'name': 'AppleMobileDeviceService.exe', 'create_time': 1597390668.0, 'vms': 3.50390625}
{'num_threads': 8, 'username': None, 'num_handles': 435, 'ppid': 868, 'memory_percent': 0.13905614232663907, 'pid': 3980, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 5.12890625}
{'num_threads': 6, 'username': None, 'num_handles': 550, 'ppid': 868, 'memory_percent': 0.31682036640609146, 'pid': 4004, 'name': 'Lavasoft.WCAssistant.WinService.exe', 'create_time': 1597390668.0, 'vms': 35.56640625}
{'num_threads': 10, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 643, 'ppid': 14228, 'memory_percent': 0.037819620819281044, 'pid': 4012, 'name': 'AvastUI.exe', 'create_time': 1597390734.0, 'vms': 16.4375}
{'num_threads': 5, 'username': None, 'num_handles': 106, 'ppid': 868, 'memory_percent': 0.04279019955552941, 'pid': 4028, 'name': 'AiSquared.Magnification.Service.exe', 'create_time': 1597390668.0, 'vms': 2.90625}
{'num_threads': 38, 'username': None, 'num_handles': 703, 'ppid': 868, 'memory_percent': 0.23169620399063032, 'pid': 4060, 'name': 'nvcontainer.exe', 'create_time': 1597390668.0, 'vms': 13.75390625}
{'num_threads': 2, 'username': None, 'num_handles': 146, 'ppid': 868, 'memory_percent': 0.03918833090607407, 'pid': 4068, 'name': 'armsvc.exe', 'create_time': 1597390668.0, 'vms': 1.80859375}
{'num_threads': 2, 'username': None, 'num_handles': 68, 'ppid': 868, 'memory_percent': 0.021899361388688452, 'pid': 4076, 'name': 'ZoomTextHelperService.exe', 'create_time': 1597390668.0, 'vms': 0.87109375}
{'num_threads': 14, 'username': None, 'num_handles': 212, 'ppid': 868, 'memory_percent': 0.04420693455764851, 'pid': 4116, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 2.3359375}
{'num_threads': 2, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 215, 'ppid': 92, 'memory_percent': 0.12078266204506899, 'pid': 4144, 'name': 'RuntimeBroker.exe', 'create_time': 1597390781.0, 'vms': 5.359375}
{'num_threads': 6, 'username': None, 'num_handles': 208, 'ppid': 868, 'memory_percent': 0.054316179233786496, 'pid': 4236, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 2.37109375}
{'num_threads': 4, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 118, 'ppid': 4648, 'memory_percent': 0.04843312710634277, 'pid': 4260, 'name': 'conhost.exe', 'create_time': 1597397940.0, 'vms': 1.69921875}
{'num_threads': 17, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 663, 'ppid': 92, 'memory_percent': 0.008500410012714597, 'pid': 4288, 'name': 'Video.UI.exe', 'create_time': 1597398095.0, 'vms': 19.671875}
{'num_threads': 6, 'username': None, 'num_handles': 517, 'ppid': 868, 'memory_percent': 0.08615669809497167, 'pid': 4384, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 5.04296875}
{'num_threads': 8, 'username': None, 'num_handles': 238, 'ppid': 868, 'memory_percent': 0.04653614295096296, 'pid': 4424, 'name': 'svchost.exe', 'create_time': 1597390669.0, 'vms': 2.28125}
{'num_threads': 3, 'username': None, 'num_handles': 109, 'ppid': 868, 'memory_percent': 0.03284904208303268, 'pid': 4484, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 1.3125}
{'num_threads': 2, 'username': None, 'num_handles': 139, 'ppid': 3904, 'memory_percent': 0.032416817845098034, 'pid': 4564, 'name': 'dasHost.exe', 'create_time': 1597390668.0, 'vms': 1.29296875}
{'num_threads': 14, 'username': None, 'num_handles': 404, 'ppid': 868, 'memory_percent': 0.0790249981690501, 'pid': 4576, 'name': 'svchost.exe', 'create_time': 1597390668.0, 'vms': 3.63671875}
{'num_threads': 28, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 410, 'ppid': 6620, 'memory_percent': 0.45501206025686125, 'pid': 4604, 'name': 'Code.exe', 'create_time': 1597408989.0, 'vms': 47.23046875}
{'num_threads': 2, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 112, 'ppid': 11632, 'memory_percent': 0.06709080671052142, 'pid': 4752, 'name': 'conhost.exe', 'create_time': 1597409142.0, 'vms': 6.5234375}
{'num_threads': 93, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 2797, 'ppid': 9112, 'memory_percent': 1.0019197959901596, 'pid': 5296, 'name': 'explorer.exe', 'create_time': 1597390690.0, 'vms': 89.49609375}
{'num_threads': 14, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 569, 'ppid': 92, 'memory_percent': 0.30114023155212927, 'pid': 5304, 'name': 'YourPhone.exe', 'create_time': 1597390700.0, 'vms': 21.67578125}
{'num_threads': 4, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 464, 'ppid': 92, 'memory_percent': 0.19853499995797821, 'pid': 5408, 'name': 'RuntimeBroker.exe', 'create_time': 1597398192.0, 'vms': 11.96875}
{'num_threads': 2, 'username': None, 'num_handles': 129, 'ppid': 868, 'memory_percent': 0.04473520862623529, 'pid': 5460, 'name': 'svchost.exe', 'create_time': 1597390670.0, 'vms': 1.52734375}
{'num_threads': 12, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 294, 'ppid': 2328, 'memory_percent': 0.08248279207252723, 'pid': 5596, 'name': 'CodeHelper.exe', 'create_time': 1597408988.0, 'vms': 10.84375}
{'num_threads': 2, 'username': None, 'num_handles': 130, 'ppid': 4060, 'memory_percent': 0.04432699684596369, 'pid': 5668, 'name': 'rundll32.exe', 'create_time': 1597390671.0, 'vms': 1.6015625}
{'num_threads': 4, 'username': None, 'num_handles': 196, 'ppid': 92, 'memory_percent': 0.06418529933329412, 'pid': 5728, 'name': 'dllhost.exe', 'create_time': 1597390680.0, 'vms': 3.12109375}
{'num_threads': 8, 'username': None, 'num_handles': 213, 'ppid': 868, 'memory_percent': 0.06898779086590123, 'pid': 5940, 'name': 'svchost.exe', 'create_time': 1597390671.0, 'vms': 2.5078125}
{'num_threads': 1, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 163, 'ppid': 1888, 'memory_percent': 0.050354123719385614, 'pid': 5996, 'name': 'jusched.exe', 'create_time': 1597390722.0, 'vms': 1.76953125}
{'num_threads': 33, 'username': None, 'num_handles': 733, 'ppid': 3264, 'memory_percent': 0.6770312438092883, 'pid': 6088, 'name': 'aswEngSrv.exe', 'create_time': 1597390671.0, 'vms': 60.734375}
{'num_threads': 22, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 831, 'ppid': 92, 'memory_percent': 0.002305195935651416, 'pid': 6112, 'name': 'SystemSettings.exe', 'create_time': 1597390830.0, 'vms': 23.4609375}
{'num_threads': 80, 'username': None, 'num_handles': 914, 'ppid': 868, 'memory_percent': 0.42542871241600144, 'pid': 6256, 'name': 'SearchIndexer.exe', 'create_time': 1597390672.0, 'vms': 55.3515625}
{'num_threads': 14, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 232, 'ppid': 2924, 'memory_percent': 0.21908966371753666, 'pid': 6372, 'name': 'chrome.exe', 'create_time': 1597408579.0, 'vms': 17.09375}
