--------------------------------------------------------------------------------
Process Log at Thu Apr 25 15:38:18 2019
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'username': None, 'pid': 8184, 'vms': 3.63671875}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8236, 'vms': 5.07421875}
{'name': 'plugin_host.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8328, 'vms': 41.9921875}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8432, 'vms': 7.8203125}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8724, 'vms': 2.44140625}
{'name': 'PSSvc.exe', 'username': None, 'pid': 8920, 'vms': 10.4140625}
{'name': 'sedsvc.exe', 'username': None, 'pid': 9316, 'vms': 2.62890625}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9360, 'vms': 104.61328125}
{'name': 'dllhost.exe', 'username': None, 'pid': 9876, 'vms': 3.2109375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9916, 'vms': 209.859375}
{'name': 'SearchProtocolHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9948, 'vms': 2.0}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9976, 'vms': 251.12890625}
{'name': 'smartscreen.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9988, 'vms': 11.91015625}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10100, 'vms': 28.203125}
{'name': 'DolbyDAX2API.exe', 'username': None, 'pid': 10276, 'vms': 27.16015625}
{'name': 'svchost.exe', 'username': None, 'pid': 10572, 'vms': 4.42578125}
{'name': 'taskhostw.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10684, 'vms': 6.56640625}
{'name': 'ctfmon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10836, 'vms': 7.57421875}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10952, 'vms': 29.359375}
{'name': 'nvsphelper64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10972, 'vms': 2.859375}
{'name': 'ShellExperienceHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10984, 'vms': 33.734375}
{'name': 'MSASCuiL.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11076, 'vms': 2.04296875}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11104, 'vms': 6.41015625}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11124, 'vms': 131.734375}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11748, 'vms': 10.4140625}
{'name': 'UnrealCEFSubProcess.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 11980, 'vms': 44.296875}
{'name': 'sublime_text.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12088, 'vms': 29.04296875}
{'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12360, 'vms': 29.59375}
{'name': 'RAVCpl64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12472, 'vms': 4.1796875}
{'name': 'sihost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12504, 'vms': 5.79296875}
{'name': 'svchost.exe', 'username': None, 'pid': 12508, 'vms': 1.703125}
{'name': 'GoogleCrashHandler.exe', 'username': None, 'pid': 12524, 'vms': 1.703125}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12560, 'vms': 9.33203125}
{'name': 'aswEngSrv.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 12640, 'vms': 7.01953125}
{'name': 'GoogleCrashHandler64.exe', 'username': None, 'pid': 12652, 'vms': 1.73046875}
{'name': 'RAVBg64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12664, 'vms': 5.9921875}
{'name': 'WebCompanion.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12700, 'vms': 70.3359375}
{'name': 'iPodService.exe', 'username': None, 'pid': 12816, 'vms': 2.28515625}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13044, 'vms': 5.4765625}
{'name': 'NVIDIA Web Helper.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13052, 'vms': 29.48046875}
{'name': 'SgrmBroker.exe', 'username': None, 'pid': 13104, 'vms': 2.54296875}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 13128, 'vms': 3.4609375}
{'name': 'svchost.exe', 'username': None, 'pid': 13244, 'vms': 7.07421875}
{'name': 'SkypeBackgroundHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13280, 'vms': 2.0703125}
{'name': 'SearchProtocolHost.exe', 'username': None, 'pid': 13644, 'vms': 2.58203125}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13828, 'vms': 52.04296875}
{'name': 'explorer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13908, 'vms': 73.8984375}
{'name': 'XtuService.exe', 'username': None, 'pid': 13964, 'vms': 51.9765625}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 14156, 'vms': 272.69140625}
{'name': 'igfxEM.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 14204, 'vms': 3.47265625}
{'name': 'iTunesHelper.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 14232, 'vms': 4.23046875}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 14312, 'vms': 5.39453125}
