--------------------------------------------------------------------------------
Process Log at Thu Jun 13 15:44:35 2019
--------------------------------------------------------------------------------
{'name': 'NVIDIA Share.exe', 'pid': 10356, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 32.3984375}
{'name': 'jusched.exe', 'pid': 10472, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.6640625}
{'name': 'chrome.exe', 'pid': 10476, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 53.3359375}
{'name': 'python.exe', 'pid': 10668, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 174.671875}
{'name': 'conhost.exe', 'pid': 10676, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.40234375}
{'name': 'RuntimeBroker.exe', 'pid': 10724, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.3984375}
{'name': 'SearchIndexer.exe', 'pid': 10728, 'username': None, 'vms': 49.1015625}
{'name': 'python.exe', 'pid': 10740, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.7421875}
{'name': 'OneDrive.exe', 'pid': 10768, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 34.86328125}
{'name': 'DolbyDAX2TrayIcon.exe', 'pid': 10784, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.87109375}
{'name': 'svchost.exe', 'pid': 10868, 'username': None, 'vms': 3.89453125}
{'name': 'ctfmon.exe', 'pid': 10932, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.421875}
{'name': 'conhost.exe', 'pid': 10992, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.39453125}
{'name': 'conhost.exe', 'pid': 11040, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.43359375}
{'name': 'chrome.exe', 'pid': 11064, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 40.0546875}
{'name': 'python.exe', 'pid': 11072, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.7265625}
{'name': 'sedsvc.exe', 'pid': 11084, 'username': None, 'vms': 2.62109375}
{'name': 'python.exe', 'pid': 11092, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 174.6328125}
{'name': 'conhost.exe', 'pid': 11124, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.453125}
{'name': 'dllhost.exe', 'pid': 11140, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.46484375}
{'name': 'python.exe', 'pid': 11156, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 8.609375}
{'name': 'chrome.exe', 'pid': 11320, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 45.18359375}
{'name': 'python.exe', 'pid': 11332, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.96484375}
{'name': 'svchost.exe', 'pid': 11360, 'username': None, 'vms': 2.34765625}
{'name': 'svchost.exe', 'pid': 11424, 'username': None, 'vms': 10.17578125}
{'name': 'nvcontainer.exe', 'pid': 11628, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.76171875}
{'name': 'jhi_service.exe', 'pid': 11668, 'username': None, 'vms': 1.4140625}
{'name': 'XtuService.exe', 'pid': 11824, 'username': None, 'vms': 52.0390625}
{'name': 'ApplicationFrameHost.exe', 'pid': 11860, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.0}
{'name': 'cmd.exe', 'pid': 11884, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.515625}
{'name': 'svchost.exe', 'pid': 11964, 'username': None, 'vms': 1.95703125}
{'name': 'RuntimeBroker.exe', 'pid': 12200, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 8.609375}
{'name': 'conhost.exe', 'pid': 12240, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4140625}
{'name': 'WinStore.App.exe', 'pid': 12276, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 29.29296875}
{'name': 'svchost.exe', 'pid': 12332, 'username': None, 'vms': 1.54296875}
{'name': 'SearchProtocolHost.exe', 'pid': 12388, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.01171875}
{'name': 'python.exe', 'pid': 12652, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.69921875}
{'name': 'conhost.exe', 'pid': 12688, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4140625}
{'name': 'python.exe', 'pid': 12892, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.7265625}
{'name': 'conhost.exe', 'pid': 12960, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.43359375}
{'name': 'python.exe', 'pid': 12968, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.7109375}
{'name': 'python.exe', 'pid': 13044, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.8984375}
{'name': 'conhost.exe', 'pid': 13100, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4140625}
{'name': 'python.exe', 'pid': 13112, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 177.1796875}
{'name': 'python.exe', 'pid': 13132, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.7109375}
{'name': 'python.exe', 'pid': 13152, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.6953125}
